0x1c	0x26
0x3a	0x66
0x78	0x92
0x93	0xa0
0xa2	0xd0
0xe2	0xfc
0xfd	0x107
0x10c	0x59e
0x4d9V0x0	0x4e1B0x0
0x4f0V0x0	0x1039B0x0
0x552V0x26	0x56aB0x26
0x552V0xa0	0x56aB0xa0
0x170V0xfc	0x179B0xfc
0x174V0xfc	0x21aB0xfc
0x19cV0xfc	0x1a6B0xfc
0x1a1V0xfc	0x253B0xfc
0x21dV0xfc	0x244B0xfc
0x25eV0xfc	0x2beB0xfc
0x2c0V0xfc	0xf4fB0xfc
0x131V0x92	0x1470x111B0x92
0x37dV0x92	0xeb7B0x92
0x112V0x92	0x11cB0x92
0x117V0x92	0x1a9B0x92
0x123V0x92	0x12aB0x92
0x1aaV0x92	0x1b4B0x92
0x1afV0x92	0x308B0x92
0x12cV0x92	0x1490x111B0x92
0x309V0x92	0x31eB0x92
0x31cV0x92	0x48bB0x92
0x31fV0x92	0x382B0x92
0x384V0x92	0xfb1B0x92
0x1eeV0x131V0x92	0xf07B0x131B0x92
0x407V0x1ebV0x131V0x92	0xedfB0x1ebB0x131B0x92
0x461V0x1ebV0x131V0x92	0x46bB0x1ebB0x131B0x92
0x3b0V0x1ebV0x131V0x92	0x40cB0x1ebB0x131B0x92
0x41eV0x1ebV0x131V0x92	0x429B0x1ebB0x131B0x92
0x424V0x1ebV0x131V0x92	0x4f8B0x1ebB0x131B0x92
0x43fV0x1ebV0x131V0x92	0x466B0x1ebB0x131B0x92
0x4fdV0x1ebV0x131V0x92	0x50cB0x1ebB0x131B0x92
0x472V0x1ebV0x131V0x92	0x47eB0x1ebB0x131B0x92
0x591V0x4f8V0x1ebV0x131V0x92	0x1470x56fB0x4f8B0x1ebB0x131B0x92
0x577V0x4f8V0x1ebV0x131V0x92	0x58cB0x4f8B0x1ebB0x131B0x92
0x587V0x4f8V0x1ebV0x131V0x92	0x572B0x4f8B0x1ebB0x131B0x92
0x496V0x46bV0x1ebV0x131V0x92	0x4a2B0x46bB0x1ebB0x131B0x92
0x4a6V0x46bV0x1ebV0x131V0x92	0x4b3B0x46bB0x1ebB0x131B0x92
0x4c4V0x46bV0x1ebV0x131V0x92	0x2b50x491B0x46bB0x1ebB0x131B0x92
0x4caV0x46bV0x1ebV0x131V0x92	0x516B0x46bB0x1ebB0x131B0x92
0x525V0x46bV0x1ebV0x131V0x92	0x537B0x46bB0x1ebB0x131B0x92
0x49dV0x46bV0x1ebV0x131V0x92	0x1013B0x46bB0x1ebB0x131B0x92
0x591V0x516V0x46bV0x1ebV0x131V0x92	0x1470x56fB0x516B0x46bB0x1ebB0x131B0x92
0x577V0x516V0x46bV0x1ebV0x131V0x92	0x58cB0x516B0x46bB0x1ebB0x131B0x92
0x587V0x516V0x46bV0x1ebV0x131V0x92	0x572B0x516B0x46bB0x1ebB0x131B0x92
