0xbcb	0xc3f
0x100f	0x104c
0x10f6	0x1106
0x175e	0x175e
0x177b	0x19c5
0x19d2	0x1a5f
0x1e43	0x1ee0
0x1eea	0x206b
0x23ce	0x23da
0x26a9	0x28ac
0x2d22	0x2e4f
0x2f7e	0x2f8a
0x32aa	0x32bc
0x34f1	0x3528
0x360d	0x36c8
0x37fa	0x3806
0x37fa	0x3924
0x3ae2	0x3b50
0x3bd6	0x3c4f
0x3f79	0x3fd5
0x42f3	0x430f
0x442e	0x4455
0x445d	0x4477
0x44a0	0x44b3
0x44ba	0x44db
0x44ff	0x452a
0x4532	0x4578
0x4681	0x46b6
0x46ea	0x472a
0x4a2a	0x4ac5
0x4ad3	0x4b4f
0x4c98	0x4cad
0x4cb4	0x4cea
0x4cf0	0x4cf0
0x4d25	0x4d3b
0x4d73	0x4d73
0x4dc4	0x4dd8
0x4de2	0x4e77
0x4eec	0x4eec
0x4f70	0x4f82
0x4f87	0x4f9c
0x5067	0x509c
0xaac	0x6d0b
0xc5b	0x6dd0
0xc76	0x6e1b
0xd1c	0x6ebd
0xdcd	0x6f0d
0x1058	0x6fa5
0x10d9	0x6fe9
0x110e	0x700d
0x110e	0x7032
0x11ce	0x70a4
0x1310	0x7141
0x139e	0x71e5
0x14c5	0x7206
0x1537	0x722a
0x1544	0x724f
0x15ee	0x72ec
0x1607	0x730f
0x16fe	0x7332
0x1725	0x7384
0x19d2	0x73a9
0x1ac1	0x73ce
0x1e43	0x74b9
0x1e43	0x74e2
0x21f8	0x755a
0x2207	0x757f
0x22b3	0x75a1
0x23ce	0x75c5
0x25f9	0x75ec
0x28bf	0x760d
0x28ca	0x7632
0x290c	0x7654
0x2921	0x767e
0x2b0a	0x76a3
0x2b0a	0x76c6
0x2d22	0x76e9
0x2d22	0x7720
0x327f	0x77ed
0x32aa	0x7812
0x3561	0x7834
0x360d	0x7858
0x392d	0x78a7
0x3ae2	0x78f3
0x3bd6	0x7965
0x3d5c	0x79af
0x3e61	0x79f9
0x3ffa	0x7a1e
0x3ffa	0x7a43
0x404c	0x7a68
0x404c	0x7a8e
0x40f7	0x7ab4
0x4256	0x7b2c
0x42f3	0x7b4f
0x4344	0x7b94
0x435b	0x7bb6
0x437b	0x7bdc
0x442e	0x7bfe
0x4609	0x7c23
0x4734	0x7c53
0x4743	0x7c75
0x4802	0x7ca4
0x4901	0x7cca
0x4939	0x7cf1
0x49c4	0x7d21
0x49f7	0x7d4b
0x4bd2	0x7d9f
0x4d40	0x7dce
0x4de2	0x7df6
0x4de2	0x7e21
0x4eac	0x7e4c
0x4f3a	0x7e9a
0x50a6	0x7ec0
0xb31	0xbc10xb31
0x11bd	0xbc10x11bd
0x15dd	0xbc10x15dd
0xe1c	0xecc0xe1c
0xed4	0xecc0xed4
0x250b	0xecc0x250b
0x31b4	0xecc0x31b4
0xfe2	0x10090xfe2
0x28fe	0x10090x28fe
0x2a5a	0x10090x2a5a
0x3996	0x10090x3996
0x39a4	0x10090x39a4
0x3d25	0x10090x3d25
0x448b	0x10090x448b
0x458f	0x10090x458f
0x4e83	0x10090x4e83
0xae4	0x21610xae4
0x2075	0x21610x2075
0x2169	0x21ef0x2169
0x2bd4	0x21ef0x2bd4
0x29a5	0x2a1d0x29a5
0x2a8c	0x2a1d0x2a8c
0x2a3a	0x2a530x2a3a
0x4b8e	0x2a530x4b8e
0x2a73	0x2a850x2a73
0x3d33	0x2a850x3d33
0x3d4b	0x2a850x3d4b
0x4e91	0x2a850x4e91
0x3072	0x31090x3072
0x3ae2	0x31090x3ae2
0x3b5d	0x31090x3b5d
0x3116	0x31a50x3116
0x3c5c	0x31a50x3c5c
0xb31	0x6d7e0xb31
0x11bd	0x6d7e0x11bd
0x15dd	0x6d7e0x15dd
0xb31	0x6da70xb31
0x11bd	0x6da70x11bd
0x15dd	0x6da70x15dd
0xde0	0x6f590xde0
0x1b10	0x6f590x1b10
0x1098	0x6fc60x1098
0x12dc	0x6fc60x12dc
0xae4	0x75330xae4
0x2075	0x75330x2075
0x3072	0x777f0x3072
0x3ae2	0x777f0x3ae2
0x3b5d	0x777f0x3b5d
0x3116	0x77c90x3116
0x3c5c	0x77c90x3c5c
0x3d5c	0x79d40x3d5c
0x3e61	0x79d40x3e61
0x432d	0x7b710x432d
