0x1086	0x108d
0x177c	0x1805
0x246f	0x246f
0x2606	0x26df
0x2b6f	0x2bce
0x2c45	0x2ef6
0x2f00	0x301d
0x30f6	0x3207
0x3697	0x3697
0x369d	0x36c9
0x36d0	0x36eb
0x36f3	0x381f
0x38b2	0x38d0
0x397c	0x3a0c
0x177c	0x42c6
0x177c	0x42ef
0x2606	0x43ac
0x2755	0x43d0
0x2a29	0x43f7
0x2f00	0x441d
0x2f00	0x4442
0x3510	0x4467
0x369d	0x448e
0x36d0	0x44b3
0x3961	0x44fe
0x397c	0x4521
0x397c	0x4543
0x397c	0x4565
0x397c	0x4587
0x397c	0x45a9
0x23f1	0x244e0x23f1
0x2755	0x2a210x2755
0x3510	0x2a210x3510
0x3826	0x44db0x3826
0x38d3	0x44db0x38d3
0x3926	0x44db0x3926
