0xd4	0x6fdde03
0xf2	0x95ea7b3
0x122	0x18160ddd
0x140	0x1efff55d
0x15c	0x23b872dd
0x18c	0x313ce567
0x1aa	0x39509351
0x1da	0x70a08231
0x20a	0x721d6164
0x226	0x95d89b41
0x244	0xa457c2d7
0x274	0xa9059cbb
0x2a4	0xdd62ed3e
0x1bf5	0x00000000
