0x159	0x4e0
0x21d	0x644
0x33f	0xff0
0x375	0x106e
0x436	0x1366
0x45a	0x14a7
0x6fa	0x1c17
0x82d	0x1c17
0x13f5	0x1c17
0x1493	0x1c17
0x22cd	0x148
0x22d0	0x14d
0x22d3	0x185
0x22d6	0x1ea
0x22d9	0x211
0x22dc	0x23b
0x22df	0x252
0x22e2	0x273
0x22e5	0x297
0x22e8	0x2b8
0x22eb	0x2cd
0x22ee	0x2f1
0x22f1	0x312
0x22f4	0x333
0x22f7	0x348
0x22fa	0x369
0x22fd	0x37e
0x2300	0x39f
0x2303	0x3c0
0x2306	0x3d5
0x2309	0x406
0x230c	0x42a
0x230f	0x44e
0x2312	0x472
0x2315	0x499
0x2318	0x4ba
