0x98	0x572b0cc
0xa2	0x3c99aff8
0xbe	0x55f21eb7
0xf2	0xa1883692
0x10e	0xa694fc3a
0x12a	0xa69df4b5
0x134	0xb792e6ec
0x150	0xcd4134d0
0x15a	0xd4f50f98
0x2e64	0x00000000
