0xe8c
0x1679
0x1f83
0x2886
0x2b18
0x2d22
0x2d7c
0x2dfd
0x2ebf
0x3027
0x33dd
0x355c
0x35d6
0x3715
0x3a1b
0x3a92
0x3f59
0x3f98
0x3fc3
0x4488
0x44ab
0x46b3
0x47ba
0x49e7
0x4c90
