0x1091	borrowBalanceCurrent(address)
0x116b	claim(address,uint256)
0x1241	repayBorrowBehalf(address,uint256)
0x1866	approve(address,uint256)
0x1a5f	getAccountAssets(address)
0x1bd5	borrowBalanceStored(address)
0x1ce0	claim(address,uint256)
0x1e65	approve(address,uint256)
0x1eee	approve(address,uint256)
0x22a0	checkMembership(address,address)
0x2323	enterMarket(address,address)
0x2533	accruedStored(address)
0x2b6d	accrue()
0x3097	seizeAllowed(address,address,address,address,uint256)
0x326f	seizeVerify(address,address,address,address,uint256)
0x377d	transferAllowed(address,address,address,uint256)
0x39ee	transferVerify(address,address,address,uint256)
0x3ca9	redeemAllowed(address,address,uint256)
0x3f31	redeemVerify(address,address,uint256,uint256)
0x4027	mintAllowed(address,address,uint256)
0x43f2	mintVerify(address,address,uint256,uint256)
0x4631	withdraw(uint256)
0x473f	deposit(uint256)
0x4a98	balanceOf(address)
0x4b1f	transferFrom(address,address,uint256)
0x4c03	balanceOf(address)
0x16ee0x79d	isComptroller()
0x16ee0x1679	isComptroller()
0x14ce0x565	totalSupply()
0x494bS0x4696	transfer(address,uint256)
0x14ce0x1459S0x1dc7	totalSupply()
