0x445	0x50f
0x6ae	0x6c5
0x7b7	0x7db
0x118	0xa13
0x15f	0xa57
0x1d0	0xa9f
0x20b	0xac3
0x235	0xae5
0x260	0xb09
0x292	0xb2f
0x331	0xb50
0x392	0xb74
0x392	0xb98
0x3f1	0xbbd
0x675	0xbdf
0x6ca	0xc05
0x7b7	0xc2b
0x35f	0x3830x35f
0x519	0x3830x519
0x541	0x5c80x541
0x5e9	0x5c80x5e9
