0x71a	0x79f
0x8df	0x8df
0x9f0	0x9f0
0xbe0	0xe28
0xe38	0xe38
0xfb9	0xfb9
0x1093	0x10d6
0x10dd	0x10dd
0x11a3	0x11a3
0x11fa	0x1301
0x1322	0x1373
0x137c	0x137c
0x1421	0x15c4
0x18aa	0x18aa
0x18f8	0x18f8
0x194f	0x194f
0x199d	0x19de
0x1a64	0x1ad4
0x1aff	0x1aff
0x1b9b	0x1b9b
0x1d70	0x1fe9
0x2227	0x2351
0x235c	0x235c
0x2364	0x2364
0x2411	0x2528
0x2675	0x2682
0x271e	0x275c
0x27f5	0x27ff
0x2809	0x2a1b
0x2a23	0x2a77
0x325a	0x3378
0x70b	0x3dba
0x8a0	0x3dde
0xa47	0x3e00
0x1007	0x3e52
0x1093	0x3ea0
0x1309	0x3ec6
0x1708	0x3f0e
0x17ed	0x3f30
0x199d	0x3fa1
0x1ada	0x3fc7
0x1bf2	0x3fe9
0x23bb	0x400f
0x23bb	0x4033
0x23fe	0x4057
0x25fb	0x40a7
0x2708	0x40cc
0x2b04	0x4119
0x3074	0x413e
0x3080	0x4161
0x312d	0x4186
0x312d	0x41ab
0x3381	0x41d0
0x3381	0x41f5
0x3381	0x421a
0x33cc	0x4240
0x33cc	0x4263
0x342d	0x4289
0x342d	0x42ad
0x3520	0x42d1
0x3520	0x42f6
0x7e3	0x85f0x7e3
0xe86	0x85f0xe86
0x2532	0x25b90x2532
0x2a7e	0x25b90x2a7e
0x2d4d	0x2e8d0x2d4d
0x2eaa	0x2e8d0x2eaa
