0x339b	0x3520	0x33ae
0x22c	0x71a	0x3676
0x258	0x7e3	0x36a9
0x3cf	0xe86	0x3887
0x444	0x1093	0x392b
0x687	0x199d	0x3c92
0x10a5	0xe86	0x3e75
0x169b	0x199d	0x16a4
0x3f7d	0x7e3	0x3f52
0x22cf	0x2708	0x2324
0x233f	0x271e	0x2348
0x2658B0x16c0	0x312d	0x2669B0x16c0
0x8c7B0x282	0x1bf2	0x3ddeB0x282
0xd20B0x366	0x2227	0xd7bB0x366
0xd8fB0x366	0x1bf2	0xe18B0x366
0x3eeaB0x4d7	0x7e3	0x134eB0x4d7
0x1561B0x516	0x2227	0x15b4B0x516
0x1809B0x618	0x2708	0x3f30B0x618
0x1af6B0x6cc	0x271e	0x3fc7B0x6cc
0x2532B0x16ba	0x7e3	0x407cB0x16ba
0xaf8B0x2f3	0x1093	0xb0bB0x2f3
0xb25B0x2f3	0x71a	0xb2eB0x2f3
0x2b12B0x211eB0x2f3	0x3381	0x4119B0x211eB0x2f3
0x2a7eB0x2118B0x2f3	0xe86	0x40eeB0x2118B0x2f3
