0x0	0xe
0xe	0x29
0xe4f	0xec40xe4f
0xf26	0xf3d0xf26
0x110b	0x1189
0x17ef	0x186d
0x18db	0x19510x18db
0x19ef	0x1a55
0x1bc7	0x1be3
0x1d65	0x1de4
0x1e10	0x1e98
0x25b5	0x2633
0x26b2	0x272f0x26b2
0x29f3	0x2a72
0xb62	0xb86
0xb86	0xb90
0x2eec	0x2f72
0x2fc6	0x3044
0xf76	0xf7d
0x3446	0x34ac
0x1065	0x106e
0x107d	0x1085
0x107a	0x107d
0x1094	0x109c
0x1090	0x1094
0x10a7	0x10ab
0x121c	0x1224
0x1233	0x123c
0x123f	0x1247
0x124b	0x12bf
0x12bf	0x12c9
0x1382	0x1392
0x1396	0x1408
0x140e	0x1416
0x141a	0x1424
0x142c	0x1436
0x1439	0x144d
0x144d	0x1457
0x14e3	0x151d
0x1521	0x152d
0x1536	0x1549
0x1559	0x159e
0x15b8	0x15cd
0x159e	0x15a8
0x15e6	0x1601
0x161b	0x1630
0x1601	0x160b
0x1649	0x1667
0x17b0	0x17b9
0x17c8	0x17d0
0x17c5	0x17c8
0x1a55	0x1a5f
0x1bf6	0x1bfe
0x1c02	0x1c480x1bc7
0x29	0x35
0x65	0x71
0x3f33	0x3f3e
0x1fbc	0x1fc4
0x1fd3	0x1fdc
0x1fdf	0x1fe7
0x1feb	0x205f
0x205f	0x2069
0x2657	0x265f
0x266c	0x2674
0x408b	0x4099
0x3074	0x3081
0x3094	0x309e
0x30ba	0x30c4
0x30f0	0x30fa
0x3116	0x3119
0x3141	0x3148
0x315a	0x3162
0x3188	0x31f7
0x31fb	0x3207
0x3210	0x3223
0x324e	0x325f
0x34ac	0x34b6
0x3593	0x359b
0x37cd	0x37d4
0x3814	0x381c
0x3f46	0x3f56
0x3f57	0x3f5f
0x3fac	0x40270x3f9b
0x40b2	0x40c6
0x40d4	0x40e9
0x40fc	0x4104
0x4140	0x4186
0x413d	0x4140
0x418a	0x4196
0x41b1	0x41be
0x42c5	0x42cd
0x42d6	0x42de
0x42e2	0x434d
0x436e	0x4413
0x434d	0x4357
0x4434	0x44d9
0x4413	0x441d
0x44fa	0x456a0x42a9
0x44d9	0x44e3
0x459a	0x4605
0x4626	0x46cb
0x4605	0x460f
0x46cb	0x46d5
0x476b	0x4774
0x4d2c	0x4d39
0x4d8a	0x4d8d
0x4d98	0x4df7
0x4dfb	0x4e07
0x4e10	0x4e23
0x4f76	0x4f81
0x4f84	0x4f8b
0x4fcc	0x4fd9
0x4fe3	0x4fe6
0x4ff8	0x500f
0x501c	0x5024
0x5028	0x502d
0x51e8	0x51ec
0x5050	0x5057
0x506b	0x5084
0x5068	0x506b
0x50e7	0x50f3
0x50fc	0x510f
0x5127	0x5186
0x518a	0x5196
0x519f	0x51b2
