0xa1b	0xa32
0x10a5	0x10ea
0x159a	0x15ce
0xfed	0x1963
0x104d	0x1988
0x114a	0x19ac
0x122f	0x19d0
0x122f	0x19f4
0x12cf	0x1a18
0x12cf	0x1a3d
0x1487	0x1a62
