0x137fS0xfed
0x1383S0xfed
0x1430S0xfed
0x144cS0xfed
0x135bS0xfed
0x143cS0xfed
0x137fS0x104d
0x1383S0x104d
0x1430S0x104d
0x144cS0x104d
0x135bS0x104d
0x143cS0x104d
0x137fS0x1548S0x12b4S0xd5a
0x1383S0x1548S0x12b4S0xd5a
0x1430S0x1548S0x12b4S0xd5a
0x144cS0x1548S0x12b4S0xd5a
0x135bS0x1548S0x12b4S0xd5a
0x143cS0x1548S0x12b4S0xd5a
