0x284	0x101e	0x28c	0x28c
0x307	0x31d	0x353	0x353
0x36d	0x383	0x3af	0x3af
0x3b1	0x134a	0x3b9	0x3b9
0x3cf	0x3e5	0x411	0x411
0x427	0x43d	0x469	0x469
0x47f	0x495	0x4c1	0x4c1
0x4d7	0x4ed	0x519	0x519
0x557	0x145e	0x55f	0x55f
0x57b	0x591	0x5bd	0x5bd
0x5d3	0x5e9	0x615	0x615
0x654	0x152c	0x65c	0x65c
0x65e	0x674	0x6b4	0x6b4
0x6ca	0x18c7	0x6d2	0x6d2
0x6d4	0x1c4f	0x6dc	0x6dc
0x6de	0x2288	0x6e6	0x6e6
0x700	0x229b	0x708	0x708
0x71e	0x734	0x760	0x760
0x776	0x78c	0x7b8	0x7b8
0x7ce	0x230c	0x7d6	0x7d6
0x7d8	0x2447	0x7e0	0x7e0
0x7f6	0x80c	0x824	0x824
0x826	0x251f	0x82e	0x82e
0x870	0x2549	0x878	0x878
0x892	0x8a8	0xa02	0xa02
0xa04	0x2722	0xa0c	0xa0c
0xa87	0xa9d	0xac9	0xac9
0xae6	0xafc	0xb28	0xb28
0xb3e	0xb54	0xb8a	0xb8a
0xba0	0xbb6	0xbe2	0xbe2
0xbe4	0xbfa	0xc26	0xc26
0xc28	0xc3e	0xc6a	0xc6a
0xc84	0xc9a	0xcd0	0xcd0
0xcd2	0x3419	0xcda	0xcda
0xd1c	0xd32	0xd5e	0xd5e
0xd60	0xd76	0xda2	0xda2
0xda4	0x371e	0xdac	0xdac
0xdae	0x3c8a	0xdb6	0xdb6
0xdf8	0x3cb0	0xe00	0xe00
0xe16	0xe2c	0xe62	0xe62
0xea0	0xeb6	0xeec	0xeec
0xf02	0xf18	0xf44	0xf44
0xf46	0xf5c	0xf88	0xf88
0xf8a	0x3f26	0xf92	0xf92
0xfd4	0x3f4c	0xfdc	0xfdc
0x10bc	0x2549	0x10c6	0x10c6
0x11db	0x3f52	0x1228	0x1228
0x1232	0x2549	0x123a	0x123a
0x1354	0x13a3	0x1360	0x1360
0x1371	0x294d	0x137c	0x137c
0x1407	0x47d0	0x140f	0x140f
0x140f	0x1354	0x141a	0x141a
0x141a	0x13a3	0x1425	0x1425
0x144b	0x3cb6	0x1455	0x1455
0x147b	0x47f2	0x1483	0x1483
0x1483	0x47f2	0x148b	0x148b
0x148b	0x13a3	0x1496	0x1496
0x14a7	0x47d0	0x14ae	0x14ae
0x14ae	0x3cb6	0x14b8	0x14b8
0x152c	0x13a3	0x1537	0x1537
0x154a	0x294d	0x1555	0x1555
0x1565	0x3d5a	0x1571	0x1571
0x15ea	0x4816	0x1606	0x1606
0x1606	0x4172	0x161a	0x161a
0x1636	0x41fa	0x164a	0x164a
0x164a	0x41fa	0x16a2	0x16a2
0x16a2	0x4172	0x1737	0x1737
0x1737	0x4244	0x17c7	0x17c7
0x1949	0x22c3	0x1954	0x1954
0x19cc	0x13a3	0x19d7	0x19d7
0x1abb	0x4816	0x1ad7	0x1ad7
0x1ae6	0x41fa	0x1afc	0x1afc
0x1afc	0x4244	0x1b96	0x1b96
0x1d14	0x13a3	0x1d1f	0x1d1f
0x1d32	0x47d0	0x1d39	0x1d39
0x1d39	0x3cb6	0x1d43	0x1d43
0x1d86	0x1d9b	0x1dae	0x1dae
0x1e1e	0x4816	0x1e3a	0x1e3a
0x1e3a	0x4172	0x1e4e	0x1e4e
0x1eda	0x41fa	0x1eef	0x1eef
0x1eef	0x41fa	0x1f47	0x1f47
0x1f47	0x4172	0x1fdc	0x1fdc
0x1fdc	0x3f52	0x208f	0x208f
0x208f	0x3f52	0x20fe	0x20fe
0x22a0	0x1407	0x22ab	0x22ab
0x230c	0x2549	0x2314	0x2314
0x244d	0x2549	0x2455	0x2455
0x2549	0x4315	0x258c	0x258c
0x25be	0x431d	0x25c6	0x25c6
0x2683	0x485b	0x26da	0x26da
0x26da	0x485b	0x26f1	0x26f1
0x26f1	0x3560	0x26fb	0x26fb
0x27c0	0x13a3	0x27ce	0x27ce
0x2886	0x47d0	0x288d	0x288d
0x288d	0x3cb6	0x2897	0x2897
0x28d6	0x4172	0x28e9	0x28e9
0x28ef	0x4172	0x2904	0x2904
0x292a	0x1407	0x2935	0x2935
0x294d	0x3cb6	0x2959	0x2959
0x2972	0x2549	0x297a	0x297a
0x2a8a	0x2549	0x2a92	0x2a92
0x2ce4	0x4172	0x2cf9	0x2cf9
0x2f4f	0x13a3	0x2f5f	0x2f65
0x2f4f	0x13a3	0x2f65	0x2f65
0x2fbb	0x4172	0x300d	0x300d
0x3158	0x31ea	0x3214	0x3214
0x32c7	0x48db	0x3354	0x3354
0x343f	0x2549	0x3447	0x3447
0x3576	0x431d	0x357e	0x357e
0x37e3	0x27c0	0x37ef	0x37ef
0x38dd	0x4816	0x38f9	0x38f9
0x3907	0x41fa	0x391d	0x391d
0x391d	0x41fa	0x3975	0x3975
0x3975	0x4172	0x3a0a	0x3a0a
0x3cb6	0x47d0	0x3cbe	0x3cbe
0x3d5a	0x3cb6	0x3d66	0x3d66
0x3d7f	0x2549	0x3d87	0x3d87
0x3df9	0x4334	0x3e02	0x3e02
0x3e05	0x2549	0x3e0d	0x3e0d
0x40a1	0x447a	0x416d	0x416d
0x41fa	0x46c5	0x423c	0x423c
0x4244	0x447a	0x4310	0x4310
0x447a	0x4785	0x4499	0x4499
0x484a	0x491b	0x4857	0x4857
0x48ca	0x491b	0x48d7	0x48d7
0x490a	0x491b	0x4917	0x4917
