0x0	__function_selector__
0xe1	()
0xe1	fallback()
0xec	setPaused(bool)
0x129	renouncePauzer()
0x140	getProxyOwner()
0x197	storageRead(bytes32)
0x1e6	getPauzer()
0x23d	bytes32ToAddress(bytes32)
0x2b8	getPaused()
0x2e7	addressToBytes32(address)
0x34c	setPauzer(address)
0x39d	readAddress(bytes32)
0x418	getImplementation()
0x46f	readBool(bytes32)
0x4c2	setProxyOwner(address)
0x513	setImplementation(address)
0x738	0x738
0x85d	0x85d
0x8b3	0x8b3
0x8c3	0x8c3
0x926	0x926
0xac4	0xac4
0xade	0xade
0xb34	0xb34
0xe10	0xe10
0xe3b	0xe3b
0xe51	0xe51
