0xe1	0x00000000
0xec	0x16c38b3c
0x129	0x17b857dd
0x140	0x1ab7710d
0x197	0x37a440e6
0x1e6	0x4bde4b2e
0x23d	0x5ced058e
0x2b8	0x6805b84b
0x2e7	0x82c947b7
0x34c	0x8f4edfe2
0x39d	0x9d84ae69
0x418	0xaaf10f42
0x46f	0xbb15ac8e
0x4c2	0xcaaee91c
0x513	0xd784d426
