0x53c3	0x55f7
0x5601	0x5601
0x57e0	0x586a
0x5607	0x6d62
0x567a	0x6d87
0x5733	0x6dac
0x5775	0x6dd2
0x58b5	0x6e1b
0x590e	0x6e41
0x59aa	0x6e8d
0x59aa	0x6eb2
0x5a62	0x6ed7
0x5d37	0x6f43
0x5d4e	0x6f6a
0x58b5	0x1f190x58b5
0x2148	0x22750x2148
0x2d43	0x2d3d0x2d43
0x2fc4	0x2d3d0x2fc4
0x2148	0x68ff0x2148
0x2d43	0x6a010x2d43
0x2fc4	0x6aba0x2fc4
0x5950	0x6e670x5950
0x5b8a	0x6efb0x5b8a
0x5b8a	0x6f1f0x5b8a
