0x195	0x1f30x0
0xaf	0xc6
0xe6	0xef
0x105	0x107
0x137	0x14e
0x18f	0x195
0x482B0x26	0x48eB0x26
0x482B0x107	0x48eB0x107
0x3c9B0x0	0x3deB0x0
0x3acB0x3e1B0x0	0x3c0B0x3e1B0x0
0x3acB0x3ecB0x0	0x3c0B0x3ecB0x0
0x3acB0x403B0x0	0x3c0B0x403B0x0
0x3acB0x413B0x0	0x3c0B0x413B0x0
0x28eB0x20fB0xef	0x298B0x20fB0xef
0x30cB0x20fB0xef	0x327B0x20fB0xef
0x349B0x20fB0xef	0x34eB0x20fB0xef
0x4cdB0x42fB0x20fB0xef	0x4d3B0x42fB0x20fB0xef
0x4a6B0x42fB0x20fB0xef	0x4a9B0x42fB0x20fB0xef
0x4c3B0x42fB0x20fB0xef	0x4cdB0x42fB0x20fB0xef
0x4a9B0x42fB0x20fB0xef	0x4b3B0x42fB0x20fB0xef
0x36eB0x34eB0x20fB0xef	0x378B0x34eB0x20fB0xef
0x37fB0x34eB0x20fB0xef	0x388B0x34eB0x20fB0xef
0x4cdB0x44dB0x34eB0x20fB0xef	0x4d3B0x44dB0x34eB0x20fB0xef
0x4a6B0x44dB0x34eB0x20fB0xef	0x4a9B0x44dB0x34eB0x20fB0xef
0x4c3B0x44dB0x34eB0x20fB0xef	0x4cdB0x44dB0x34eB0x20fB0xef
0x4a9B0x44dB0x34eB0x20fB0xef	0x4b3B0x44dB0x34eB0x20fB0xef
