0x1c	0x26
0x83	0xaf
0xc1	0xdb
0xdc	0xe6
0xe1	0x179
0xea	0x107
0xef	0x105
0x109	0x137
0x149	0x163
0x164	0x16e
0x169	0x23e
0x174	0x4d9
0x17a	0x18f
0x18d	0x288
0x190	0x1fc
0x240	0x267
0x489V0x26	0x4a1B0x26
0x489V0x107	0x4a1B0x107
0x3d9V0x0	0x3e1B0x0
0x3e2V0x0	0x3ecB0x0
0x3f6V0x0	0x403B0x0
0x406V0x0	0x413B0x0
0x416V0x0	0x423B0x0
0x3bbV0x3e1V0x0	0x3c4B0x3e1B0x0
0x3bbV0x3ecV0x0	0x3c4B0x3ecB0x0
0x3bbV0x403V0x0	0x3c4B0x403B0x0
0x3bbV0x413V0x0	0x3c4B0x413B0x0
0x212V0xef	0xd21B0xef
0x2eaV0x20fV0xef	0x1f30x28eB0x20fB0xef
0x344V0x20fV0xef	0x34eB0x20fB0xef
0x293V0x20fV0xef	0x2efB0x20fB0xef
0x301V0x20fV0xef	0x30cB0x20fB0xef
0x307V0x20fV0xef	0x42fB0x20fB0xef
0x322V0x20fV0xef	0x349B0x20fB0xef
0x434V0x20fV0xef	0x443B0x20fB0xef
0x355V0x20fV0xef	0x361B0x20fB0xef
0x4c8V0x42fV0x20fV0xef	0x4d3B0x42fB0x20fB0xef
0x4aeV0x42fV0x20fV0xef	0x4c3B0x42fB0x20fB0xef
0x4beV0x42fV0x20fV0xef	0x4a9B0x42fB0x20fB0xef
0x373V0x34eV0x20fV0xef	0x37fB0x34eB0x20fB0xef
0x383V0x34eV0x20fV0xef	0x390B0x34eB0x20fB0xef
0x3a1V0x34eV0x20fV0xef	0x1f30x36eB0x34eB0x20fB0xef
0x3a7V0x34eV0x20fV0xef	0x44dB0x34eB0x20fB0xef
0x45cV0x34eV0x20fV0xef	0x46eB0x34eB0x20fB0xef
0x37aV0x34eV0x20fV0xef	0xd69B0x34eB0x20fB0xef
0x4c8V0x44dV0x34eV0x20fV0xef	0x4d3B0x44dB0x34eB0x20fB0xef
0x4aeV0x44dV0x34eV0x20fV0xef	0x4c3B0x44dB0x34eB0x20fB0xef
0x4beV0x44dV0x34eV0x20fV0xef	0x4a9B0x44dB0x34eB0x20fB0xef
