0x1a	0xec
0x25	0x8a
0x30	0x64
0x92	0xc6
0xf4	0x159
0xff	0x133
0x1de	0x1e6
0x1ef	0x1f7
0x1f9	0x200
0x1fc	0x94e
0x21e	0x226
0x228	0x2f3
0x235	0x23d
0x252	0x25a
0x264	0x26c
0x286	0x28e
0x2a7	0x2af
0x2b9	0x2c1
0x2db	0x2e3
0x2ef	0x961
0x2f9	0x301
0x303	0x30a
0x306	0xe0b
0x324	0x32c
0x32e	0x335
0x37b	0x383
0x385	0x38c
0x388	0xe20
0x3d2	0x3da
0x3dc	0x3e3
0x3df	0xe46
0x3fd	0x405
0x407	0x40e
0x43b	0x451
0x44d	0x436
0x469	0x471
0x480	0x488
0x48a	0x491
0x48d	0x10c6
0x4ab	0x4b3
0x4b5	0x500
0x4c2	0x4ca
0x4fc	0x10d3
0x506	0x50e
0x510	0x517
0x513	0x15a0
0x531	0x539
0x53b	0x542
0x53e	0x15a6
0x560	0x568
0x56a	0x571
0x577	0x57f
0x581	0x5c2
0x58e	0x596
0x5be	0x164f
0x5dc	0x5e4
0x5f3	0x5fb
0x60d	0x1661
0x63e	0x654
0x650	0x639
0x66c	0x674
0x676	0x67d
0x679	0x1673
0x6c3	0x6cb
0x6cd	0x70e
0x6da	0x6e2
0x70a	0x1699
0x72c	0x734
0x736	0x73d
0x739	0x16f2
0x757	0x75f
0x761	0x768
0x782	0x78a
0x78c	0x793
0x799	0x7a1
0x7a3	0x7aa
0x7c4	0x7cc
0x7ce	0x7d5
0x7d1	0x17a2
0x81b	0x823
0x825	0x82c
0x84a	0x852
0x854	0x895
0x861	0x869
0x891	0x1805
0x89b	0x8a3
0x8a5	0x8ac
0x8c6	0x8ce
0x8dd	0x8e5
0x8f7	0x18fb
0x901	0x909
0x90b	0x94c
0x918	0x920
0x948	0x1936
0x973	0x9e4
0x9ee	0xa5f
0xa67	0xa70
0xa82	0xc09
0xa93	0xbfb
0xa9e	0xaa3
0xaeb	0xaf0
0xb26	0xbee
0xb32	0xb37
0xb41	0xbed
0xb47	0xb86
0xb51	0xb56
0xb82	0x1cf50x21a
0xb91	0xb96
0xbad	0xbbc
0xbbd	0xbe6
0xbcb	0xbd0
0xbe4	0x1dee0x21a
0xbf7	0xa8b
0xc05	0xa78
0xc12	0xc28
0xc2a	0xc39
0xc2e	0xc37
0xc47	0xcc4
0xc53	0xc58
0xc78	0xcb6
0xc83	0xc88
0xcb4	0x21b90x21a
0xcc0	0xc3f
0xd66	0xd6e
0xd75	0xd82
0xdf7	0xe03
0xdfb	0xe02
0x10e5	0x1156
0x11a7	0x1218
0x121d	0x128e
0x12cf	0x12d7
0x12d3	0x28ae0x4a7
0x1310	0x1326
0x1322	0x130b
0x1336	0x1353
0x136a	0x1372
0x1379	0x1386
0x1394	0x139c
0x13b8	0x13c3
0x13c6	0x13f8
0x13c9	0x13dc
0x13dd	0x13e5
0x1402	0x1418
0x141a	0x1429
0x141e	0x1427
0x142f	0x145b
0x14fc	0x1504
0x150b	0x1518
0x158d	0x1599
0x1591	0x1598
0x1652	0x165a
0x1806	0x180d
0x180e	0x187f
0x1880	0x1888
0x1884	0x3945
0x18a0	0x18a7
0x1903	0x1919
0x191b	0x192a
0x191f	0x1928
0x192f	0x22f00x8c2
0x1937	0x193e
0x193f	0x19b0
0x1d36	0x1d3e0x1cf5
0x1e37	0x1ea8
0x1f0a	0x1f12
0x1f19	0x1f26
0x1f34	0x1f3c
0x1f50	0x1f5c
0x1f58	0x21b4
0x1fbe	0x1fc6
0x1fcd	0x1fda
0x1fe8	0x1ff0
0x2006	0x200d
0x2014	0x21b1
0x2084	0x208c
0x2093	0x20a0
0x20ae	0x20b6
0x211b	0x21b0
0x218f	0x2197
0x219e	0x21ab
0x2a05	0x2a280x29fb
0x3993	0x399f0x398c
0x3a15	0x3a540x3a12
0x3a50	0x449b0x3a12
0x4047	0x4086
0x4082	0x46c0
0x40df	0x4252
0x40ec	0x40f1
0x4121	0x4160
0x412b	0x4130
0x415c	0x1cf50x40ca
0x41d9	0x41e1
0x41e8	0x41f5
0x4203	0x420b
0x4224	0x4242
0x4228	0x423d
0x424e	0x40d5
0x426b	0x42bf
0x426f	0x42ae
0x4279	0x427e
0x42aa	0x47800x4256
0x42bb	0x4261
0x46c9	0x476d
0x471c	0x4732
0x472e	0x4717
0x4742	0x475f
0x4bc7	0x4bff
0x4bc9	0x4c47
0x4bcb	0x4c4a
0x4bcd	0x4c4d
0x4bcf	0x4c50
0x4bd1	0x4c3e
0x4bd3	0x4c41
0x4bd5	0x4c44
0x4bd7	0x4c32
0x4bd9	0x4c35
0x4bdb	0x4c38
0x4bdd	0x4c3b
0x4bdf	0x4c29
0x4be1	0x4c2c
0x4be3	0x4c2f
0x4be5	0x4c1d
0x4be7	0x4c20
0x4be9	0x4c23
0x4beb	0x4c26
0x4bed	0x4c14
0x4bef	0x4c17
0x4bf1	0x4c1a
0x4bf3	0x4c02
0x4bf5	0x4c05
0x4bf7	0x4c08
0x4bf9	0x4c0b
0x4bfb	0x4c0e
0x4bfd	0x4c11
0x42560x49f8	0x47900x4256
0x47800x49f8	0x47900x4780
0x42560x49d2	0x49e70x4256
0x47800x49d2	0x49e70x4780
0x42560x49ce	0x49ec0x4256
0x47800x49ce	0x49ec0x4780
0x42560x49ad	0x49b50x4256
0x47800x49ad	0x49b50x4780
0x42560x4992	0x499f0x4256
0x47800x4992	0x499f0x4780
0x42560x4983	0x498b0x4256
0x47800x4983	0x498b0x4780
0x42560x48fb	0x49000x4256
0x47800x48fb	0x49000x4780
0x42560x48d2	0x49ee0x4256
0x47800x48d2	0x49ee0x4780
0x42560x48b7	0x48bf0x4256
0x47800x48b7	0x48bf0x4780
0x42560x489c	0x48a90x4256
0x47800x489c	0x48a90x4780
0x42560x488d	0x48950x4256
0x47800x488d	0x48950x4780
0x42560x4805	0x480a0x4256
0x47800x4805	0x480a0x4780
0x42560x47db	0x1cf50x4256
0x47800x47db	0x1cf50x4780
0x42560x47aa	0x47af0x4256
0x47800x47aa	0x47af0x4780
0x42560x47a0	0x47df0x4256
0x47800x47a0	0x47df0x4780
0x42560x479a	0x49fc0x4256
0x47800x479a	0x49fc0x4780
0x8c20x468f	0x408e0x8c2
0x8c20x466c	0x46740x8c2
0x8c20x4656	0x466b0x8c2
0x8c20x4653	0x46820x8c2
0x8c20x464e	0x46830x8c2
0x8c20x4637	0x463f0x8c2
0x8c20x4621	0x46360x8c2
0x8c20x461e	0x464d0x8c2
0x8c20x461a	0x46520x8c2
0x8c20x4615	0x46910x8c2
