0xec4
0x1046
0x111a
0x12b3
0x13f7
0x145d
0x17ff
0x18b8
0x198d
0x1b4b
0x1c6b
0x1eaa
0x1fe5
0x20d7
0x224f
0x22f5
0x2393
0x243d
0x24e7
0x28c6
0x295d
0x2a56
0x135cS0x645
0x1adbS0x8ba
0x396cS0x2ff4
0x3940S0x2ff4
0x174bS0x77f
0x396cS0x3589S0x2182
0x3940S0x3589S0x2182
0x396cS0x36bdS0x2260
0x3940S0x36bdS0x2260
