0x192	0x2ae74a
0x1b6	0x201ae9db
0x1de	0x233b7451
0x216	0x2ee40908
0x242	0x36ef088c
0x26e	0x3d82e3c1
0x29a	0x46350ae6
0x2c0	0x485cc955
0x2ee	0x4b341aed
0x314	0x6c483ff3
0x34a	0x6f1e8533
0x384	0x7033e4a6
0x38c	0x73252494
0x394	0x8129fc1c
0x39c	0x817b1cd2
0x3a4	0x948e5426
0x3ac	0x9b172b35
0x3d8	0xa2e5e73e
0x404	0xaa70d236
0x42a	0xc9c53232
0x447	0xccd9838a
0x47d	0xcfc16254
0x4a3	0xd16543f6
0x4ab	0xea63d651
0x4d1	0xede38421
0x4fd	0xfc0c546a
0x21b4	0x00000000
