0x9bf	0x9ca
0x1ea4	0x1eff
0x1f09	0x1f49
0x229d	0x230b
0x2311	0x2439
0x2441	0x250a
0x250f	0x2623
0x2951	0x2968
0x296d	0x29be
0x2a24	0x2a5d
0x2a66	0x2aa9
0x2ab4	0x2adf
0x2aea	0x2bdc
0x2d4e	0x2d66
0x2d7a	0x2d8c
0x2de1	0x2e22
0x2e2e	0x2e2e
0x2e59	0x2e59
0x2e7f	0x2e7f
0x2eb4	0x2edd
0x2ee5	0x2ef8
0x2efd	0x2f0f
0x2f14	0x2f3e
0x2f44	0x2f58
0x2f8b	0x2f99
0x229d	0x3cb8
0x26a9	0x3cdd
0x2749	0x3d02
0x27b6	0x3d28
0x27b6	0x3d4d
0x29d8	0x3d72
0x29f2	0x3d98
0x2cbf	0x3dc0
0x2d0b	0x3de6
0x846	0x9b30x846
0xec1	0x9b30xec1
0x10bb	0x9b30x10bb
0x16ea	0x9b30x16ea
0xd8e	0xeb40xd8e
0x21b7	0xeb40x21b7
0xf7c	0x10060xf7c
0x11a6	0x10060x11a6
0x1f52	0x10060x1f52
0x1010	0x10b00x1010
0x1fc2	0x10b00x1fc2
