0x1ae	0x6fdde03
0x1cc	0x95ea7b3
0x1fc	0x18160ddd
0x21a	0x23b872dd
0x24a	0x313ce567
0x268	0x3644e515
0x286	0x39509351
0x2b6	0x3a46b1a8
0x2e6	0x40c10f19
0x302	0x42966c68
0x31e	0x587cde1e
0x34e	0x5aa6e675
0x36c	0x5c19a95c
0x388	0x6fcfff45
0x3b8	0x70a08231
0x3e8	0x7ecebe00
0x418	0x8129fc1c
0x422	0x8e539e8c
0x452	0x95d89b41
0x470	0x9ab24eb0
0x4a0	0xa457c2d7
0x4d0	0xa9059cbb
0x500	0xab033ea9
0x51c	0xc3cda520
0x538	0xd505accf
0x554	0xdd62ed3e
0x584	0xf1127ed8
0x4ab0	0x00000000
