0x2bb	0xacc
0x8f9	0x1084
0x1b27	0x267
0x1b84	0x92c
0x1b87	0x980
0x1b8a	0x9bb
0x1b8d	0x9d0
0x1b90	0x9e5
0x1b63	0x78b
0x1b30	0x3ea
0x1b51	0x590
0x1b81	0x917
0x1b72	0x849
0x1b75	0x882
0x1b78	0x8ba
0x1b7b	0x8ed
0x1b7e	0x902
0x1b66	0x7be
0x1b69	0x7d3
0x1b6c	0x7e8
0x1b6f	0x7fd
0x1b54	0x5c3
0x1b57	0x674
0x1b5a	0x68b
0x1b5d	0x753
0x1b60	0x768
0x1b4b	0x550
0x1b4e	0x57b
0x1b39	0x48f
0x1b3c	0x4a4
0x1b3f	0x4b9
0x1b42	0x4e3
0x1b45	0x4f8
0x1b48	0x53b
0x1b2a	0x2af
0x1b2d	0x339
0x1b33	0x437
0x1b36	0x45e
0xb590x339	0x114d
0xb590x68b	0x114d
0xb59B0xec4	0x114d
