0x42e	0x3ff	0x417
0x494	0x468	0x47a
0x5d7	0x5a8	0x5c0
0x80c	0x7e0	0x7f2
0x84f	0x823	0x835
0xae7	0xabb	0xacd
0xbfb	0xbcf	0xbe1
0xc3e	0xc12	0xc24
0xf6e	0xf42	0xf54
0x1309	0x12dd	0x12ef
0x302	0x14f5	0x2e5
0xe0e	0x2b96	0xdf1
0x52e4	0x5209arg0x0	0x52c7
0x56ef	0x5614arg0x0	0x56d2
