0x59a	0x71c
0x727	0x7b1
0xa4d	0xc2d
0xd67	0xe0d
0xe2a	0xf27
0x12c2	0x12ef
0x12fa	0x1339
0x1344	0x1394
0x13df	0x13fc
0x1442	0x1453
0x145a	0x14eb
0x1517	0x1517
0x1768	0x1768
0x17b8	0x17e2
0x458	0x1c52
0xc73	0x1cc6
0xf2e	0x1d39
0xfbf	0x1d5c
0x1006	0x1da5
0x1036	0x1dee
0x10b7	0x1e38
0x1113	0x1e5c
0x1113	0x1e80
0x11a2	0x1ecc
0x11b9	0x1f1b
0x1283	0x1f6a
0x12a6	0x1f90
0x140a	0x1fb6
0x17e8	0x1fdc
