0xbd0
0x12b1
0x166c
0x1d34
0x203d
0x20eb
0x24a4
0x260a
0x2a1f
0x2b52
0x2bd3
0x2c8b
0x2e81
0x32ae
0x3514
0x3593
0x373f
0x37e7
0x3c19
0x3c65
0x3d7b
0x3d9e
0x3dc4
0x3e96
0x4442
0x4909
0x4948
0x4973
0x4e1a
0x4e67
0x5175
0x56f8
0x5873
