0x530	0x4d5	0x519
0x5b5	0x55a	0x59e
0x77b	0x720	0x764
0x915	0x8ba	0x8fe
0x99a	0x93f	0x983
0x3710x347	0x34e_0x0	0x3470x35d
0x3710x83a	0x841_0x0	0x83a0x35d
