0x114	0x933c1ed
0x23c	0x3a74a767
0x271	0x4487152f
0x324	0x5c60da1b
0x355	0x715018a6
0x36a	0x8da5cb5b
0x37f	0xbb913f41
0x3b2	0xf2fde38b
0x3e5	0xf851a440
0xc05	0x00000000
