0x5b
0x65
0x13e
0x380
0x3a5
0x51c
0x527
0x52c
0x55d
0x566
0x58e
0x5a8
0x5c9
0x5ce
0x5de
0x6f9
0x702
0x709
0x714
0x71c
0x750
0x759
0x7ad
0x7b8
0x7c2
0x7d2
0x7de
0x7e9
0x7f3
0x803
0x80c
0x880
0x88d
0x898
0x8a3
0x8af
0x8d5
0x8ef
0x957
0x970
0x977
0x982
0x98d
0x9db
0x9de
0x9e7
0x9f9
0xa02
0xa08
0xa0e
0xae6
