0xba2	0xba4
0xba5	0x67
0xba8	0x90
0xbab	0xbb
0xbae	0xd2
0xbb1	0xfd
0x12e0x0	0x3cc
0x12e0xba4	0x3cc
0x1c8B0x9c	0x3cc
