0x0	0xb0B0x0
0x3e	0xb0B0x3e
0x83	0x14b
0xb0B0x0	0xf1B0x0
0xb0B0x0	0xe1B0x0
0x100B0x0	0x103B0x0
0xf1B0x0	0x100B0x0
0xf1B0x0	0x11eB0x0
0x11eB0x0	0x12eB0x11eB0x0
0x103B0x0	0x11eB0x0
0x103B0x0	0x10cB0x0
0xe1B0x0	0x11eB0x0
0x10cB0x0	0x103B0x0
0x13dB0x11eB0x0	0x134B0x11eB0x0
0x12eB0x11eB0x0	0x134B0x11eB0x0
0x134B0x11eB0x0	0x13dB0x11eB0x0
0x134B0x11eB0x0	0x101bB0x11eB0x0
0xb0B0x3e	0xf1B0x3e
0xb0B0x3e	0xe1B0x3e
0x100B0x3e	0x103B0x3e
0xf1B0x3e	0x100B0x3e
0xf1B0x3e	0x11eB0x3e
0x11eB0x3e	0x12eB0x11eB0x3e
0x103B0x3e	0x11eB0x3e
0x103B0x3e	0x10cB0x3e
0xe1B0x3e	0x11eB0x3e
0x10cB0x3e	0x103B0x3e
0x13dB0x11eB0x3e	0x134B0x11eB0x3e
0x12eB0x11eB0x3e	0x134B0x11eB0x3e
0x134B0x11eB0x3e	0x13dB0x11eB0x3e
0x134B0x11eB0x3e	0x101bB0x11eB0x3e
0xff8B0x0	0x3e
0x148B0x11eB0x0	0xff8B0x0
0x101bB0x11eB0x0	0x148B0x11eB0x0
0xff8B0x3e	0x83
0x148B0x11eB0x3e	0xff8B0x3e
0x101bB0x11eB0x3e	0x148B0x11eB0x3e
