0xfd
0x20e
0x2e7
0x2ef
0x3f0
0x400
0x45a
0x462
0x585
0x634
0x690
0x70c
0x754
0x75c
0xaa0
0xb1c
0xb24
0xb58
0xbf8
0xc74
0xff9
0xffc
0xfff
0x1002
0x1005
0x1008
0x100b
0x100e
0x1011
0x1014
0x1017
