0xa3	0x2def6620
0xad	0x648bf774
0xdb	0x715018a6
0xe3	0x817b1cd2
0xfd	0x8da5cb5b
0x121	0x8da7ad23
0x147	0xa694fc3a
0x164	0xc4d66de8
0x18a	0xcad92a4b
0x192	0xf2fde38b
0xdb6	0x00000000
