0x142	0x12740ad5
0x157	0x158ef93e
0x180	0x2e4dbe8f
0x20f	0x329b62d9
0x381	0x33123926
0x4a4	0x481c6a75
0x4d5	0x485cc955
0x510	0x58aba00f
0x543	0x5c975abb
0x558	0x6c8f8b1a
0x58b	0x7b637f42
0x60d	0x954ce692
0x652	0xa4acb8c5
0x685	0xbc0f6491
0x69a	0xbedb86fb
0x6c6	0xc100521c
0x6db	0xc350a0d0
0x74b	0xd0240ca5
0x7b0	0xd3b0cb45
0x7e3	0xe5b95595
0x80d	0xf36b8d34
0x822	0xfb74e986
0x2875	0x00000000
