0x1ae	0x6fdde03
0x231	0x95ea7b3
0x295	0x158ef93e
0x2b5	0x18160ddd
0x2d3	0x1b3ed722
0x2f1	0x23b872dd
0x375	0x313ce567
0x396	0x39509351
0x3fa	0x3afada39
0x43e	0x3f4ba83a
0x448	0x40c10f19
0x4ac	0x46951954
0x4f0	0x52d1902d
0x50e	0x641579a6
0x53c	0x6b713f4f
0x580	0x70a08231
0x5d8	0x8456cb59
0x5e2	0x95d89b41
0x665	0x9dc29fac
0x6c9	0xa457c2d7
0x72d	0xa9059cbb
0x791	0xb1eb3468
0x7d5	0xdd62ed3e
0x84d	0xf7ea7a3d
0x87b	0xf851a440
0x8af	0xf9f92be4
0x909	0xfe4b84df
0x3a11	0x00000000
