0xb9	0x4e71d92d
0xc3	0x766e33f4
0xdd	0x7e1c0c09
0xe5	0x8033fe49
0xed	0x86a1da9c
0x113	0x89885049
0x139	0x9852595c
0x15f	0xa3f8eace
0x185	0xa9059cbb
0x1b1	0xb6c238b5
0x1d7	0xfc0c546a
0x1fb	0xfd536f5d
0xbc3	0x00000000
