0xb9	0x2de	0xc0b	0xc0b
0xc3	0x4f9	0xc2c	0xc2c
0xdd	0x4ff	0xc5d	0xc5d
0xe5	0x505	0xc8e	0xc8e
0xed	0x103	0xcbf	0xcbf
0x113	0x129	0xcf0	0xcf0
0x139	0x14f	0xd21	0xd21
0x15f	0x175	0xd52	0xd52
0x185	0x19b	0xd83	0xd83
0x1b1	0x1c7	0xda4	0xda4
0x1d7	0x802	0x1df	0x1df
0x1fb	0x211	0xdd5	0xdd5
0x3af	0x564	0x3ba	0x3ba
0x3ba	0xa93	0x3e0	0x3e0
0x3e0	0xaad	0x411	0x411
0x51d	0x564	0x54a	0x54a
0x51d	0x564	0xdf6	0x54a
0x58e	0xa93	0x5ba	0xe34
0x58e	0xa93	0xe34	0xe34
0x5ba	0xa93	0x5e2	0x601
0x5ba	0xa93	0x601	0x601
0x60e	0x564	0x61a	0x630
0x60e	0x564	0x630	0x630
0x630	0x564	0x64c	0x64c
0x630	0x564	0xe5a	0x64c
0x64c	0x564	0x671	0x687
0x64c	0x564	0x687	0x687
0x687	0x564	0x6a3	0x6c2
0x687	0x564	0x6c2	0x6c2
0x6c2	0xabf	0x717	0x717
0x71d	0xabf	0x72e	0x72e
0x744	0xa93	0x761	0x761
0x761	0xaad	0x78d	0x78d
0x8ba	0xaad	0x8c4	0x8c4
0x9e4	0xa27	0xa3d	0xa3d
