0xede	0xee0
0xf23	0x474
0xf26	0x489
0xf29	0x49e
0xf2c	0x4b3
0xf1a	0x42a
0xf1d	0x44a
0xf20	0x45f
0xf08	0x393
0xf0b	0x3a8
0xf0e	0x3d6
0xf11	0x3eb
0xf14	0x400
0xf17	0x415
0xefc	0x334
0xeff	0x349
0xf02	0x35e
0xf05	0x373
0xef3	0x2d6
0xef6	0x2eb
0xef9	0x31f
0xee1	0x207
0xee4	0x232
0xee7	0x268
0xeea	0x27d
0xeed	0x292
0xef0	0x2b4
