0x207	0x11aa9ba8
0x232	0x1526fe27
0x268	0x173c5df5
0x27d	0x18160ddd
0x292	0x2218d29b
0x2b4	0x3a74a767
0x2d6	0x3b025fbe
0x2eb	0x3f2f33aa
0x31f	0x5aa6e675
0x334	0x5c60da1b
0x349	0x6428a8c0
0x35e	0x65fadb1b
0x373	0x6e89e43d
0x393	0x91cca3db
0x3a8	0x93f1a40b
0x3d6	0x98f1a758
0x3eb	0xa1f7a24e
0x400	0xa70014b3
0x415	0xad5c4648
0x42a	0xbb913f41
0x44a	0xc45a0155
0x45f	0xdd8fee14
0x474	0xeaa90123
0x489	0xf5dda9ec
0x49e	0xf851a440
0x4b3	0xf887ea40
0xee0	0x00000000
