0xd4f
0xff4
0x1006
0x144f
0x1681
0x1a73
0x1a8d
0x1a9f
0x1b84
0x1b89
0x290f
0x2929
0x293b
0x2a5f
0x2a71
0x2bd7
0x2be9
0x2bfa
0x2bff
0x307f
0x378c
0x386c
0x3878
0x3882
0x3b78S0x29dc
0x3b7fS0x29dc
0x3b86S0x29dc
0x3b78S0x383a
0x3b7fS0x383a
0x3b86S0x383a
