0xeb1	allowance(address,address)
0xf82	transferFrom(address,address,uint256)
0x1522	transfer(address,uint256)
0x2b51	transfer(address,uint256)
0x2ea6	transfer(address,uint256)
0x311b	transfer(address,uint256)
0x12e50x5b3	isOperator(address)
0x12e50x8e8	isAdmin(address)
0x12e50x1291	isOperator(address)
0x12110x567	isAdmin(address)
0x12110x58d	isRelay(address)
0x12110x5b3	isSystem(address)
0x12110x618	isSystem(address)
0x12110x64e	isTrader(address)
0x12110x6f8	isMultisig(address)
0x12110x71e	isOperator(address)
0x12110x787	isIssuer(address)
0x12110x8c2	isInvestor(address)
0x12110x8e8	isSystem(address)
0x12110x11bd	isAdmin(address)
0x12110x1291	isSystem(address)
0x12110x178c	isSystem(address)
0x12110x18d7	isTrader(address)
0x12110x1dda	isOperator(address)
0x12110x277eS0xcc8	isInvestor(address)
