0x13	0x1c
0x76	0x86
0x8b	0x9d
0xa1	0xb3
0xca	0xdf
0xdd	0xea
0xe5	0x216
0xf9	0x102
0x112	0x125
0x128	0x131
0x13e	0x147
0x19eV0x1c	0x1b4B0x1c
0x1bfV0x1c	0x1e4B0x1c
0x1e6V0x1c	0x16e1B0x1c
0x1ccV0x1c	0x1e4B0x1c
0x1afV0x1c	0x1e4B0x1c
0x1dfV0x1c	0x1c7B0x1c
0x20eV0x1e4V0x1c	0x1fdB0x1e4B0x1c
0x1f7V0x1e4V0x1c	0x213B0x1e4B0x1c
0x202V0x1e4V0x1c	0x1704B0x1e4B0x1c
0x19eV0x86	0x1b4B0x86
0x1bfV0x86	0x1e4B0x86
0x1e6V0x86	0x16e1B0x86
0x1ccV0x86	0x1e4B0x86
0x1afV0x86	0x1e4B0x86
0x1dfV0x86	0x1c7B0x86
0x20eV0x1e4V0x86	0x1fdB0x1e4B0x86
0x1f7V0x1e4V0x86	0x213B0x1e4B0x86
0x202V0x1e4V0x86	0x1704B0x1e4B0x86
0x19eV0x9d	0x1b4B0x9d
0x1bfV0x9d	0x1e4B0x9d
0x1e6V0x9d	0x16e1B0x9d
0x1ccV0x9d	0x1e4B0x9d
0x1afV0x9d	0x1e4B0x9d
0x1dfV0x9d	0x1c7B0x9d
0x20eV0x1e4V0x9d	0x1fdB0x1e4B0x9d
0x1f7V0x1e4V0x9d	0x213B0x1e4B0x9d
0x202V0x1e4V0x9d	0x1704B0x1e4B0x9d
