0x105	0x18b1ed47
0x11a	0x248a9ca3
0x143	0x2f2ff15d
0x156	0x36568abe
0x169	0x3f91be89
0x17c	0x485cc955
0x18f	0x51f6cf2f
0x1b4	0x768f304f
0x1c7	0x8824c62d
0x1e7	0x9010d07c
0x207	0x91d14854
0x227	0xa217fddf
0x22f	0xb4c30f7b
0x242	0xca15c873
0x255	0xd547741f
0x268	0xec87621c
0x13ce	0x00000000
