0x10e	0x452b968
0x144	0x19ab453c
0x166	0x1f4e4a44
0x186	0x212ea247
0x1a8	0x22ce64a2
0x1c8	0x30edc0f5
0x1f5	0x40d1d824
0x215	0x47b64eb0
0x235	0x4fd501d8
0x248	0x53d6fd59
0x268	0x715018a6
0x27d	0x7a5a2ac0
0x29d	0x8da5cb5b
0x2bf	0x90bfb8cf
0x2df	0xd6f4935d
0x2ff	0xd9caed12
0x31f	0xdb420fe3
0x334	0xf2fde38b
0x27e6	0x00000000
