0xa7	0x00000000
0x12a	0x26782247
0x15b	0x2832f611
0x182	0x32549f5a
0x197	0xb71d1a0c
0x1ca	0xbb5260e4
0x1df	0xbb82aa5e
0x1f4	0xc1e80334
0x209	0xdcfbc0c7
0x21e	0xdd2d8e3e
0x233	0xe992a041
0x266	0xe9c714f2
0x27b	0xf851a440
