0x1d4	0x6fdde03
0x1f2	0x8fa2fdf
0x212	0x95ea7b3
0x232	0x18160ddd
0x247	0x23b872dd
0x25a	0x313ce567
0x26f	0x38d07436
0x284	0x3fc8cef3
0x28c	0x3fd8b02f
0x294	0x5aa6e675
0x29c	0x5c60da1b
0x2a4	0x70a08231
0x2b7	0x779972da
0x2ca	0x83f81a64
0x2d2	0x93857392
0x2e5	0x95d89b41
0x2ed	0xa9059cbb
0x300	0xab2e710f
0x313	0xadfe0d3f
0x31b	0xb052e521
0x323	0xb6b55f25
0x336	0xbb2f30ae
0x349	0xbc7b0ee8
0x35c	0xc0c53b8b
0x36f	0xc907dc8d
0x382	0xd3eadfb1
0x395	0xdd62ed3e
0x3a8	0xf8131226
0x3bb	0xf851a440
0x1eee	0x00000000
