0x1d5	0x20a
0x320	0x32e
0x385	0x3b2
0x3b8	0x3cf
0x1c2	0xbb5
0xbda	0xbda
0xbfe	0xbfe
0xc22	0xc22
0x335	0xc46
0x342	0xc6b
0x34f	0xc90
0x373	0xcb5
