0x17c	0xfd6240e
0x1b0	0x158ef93e
0x1dc	0x1ebeef89
0x1f4	0x21dadb75
0x20c	0x220cce97
0x224	0x2ff55e87
0x26d	0x46951954
0x2a4	0x52d1902d
0x2ce	0x5a2e2f47
0x305	0x5b55c1b1
0x342	0x7b103999
0x342	0xdd62ed3e
0x35a	0x8463dd84
0x38b	0x8da5cb5b
0x3a3	0x953612b5
0x44f	0xac4afa38
0x47d	0xb39e12cf
0x495	0xbd097e21
0x4ad	0xcbe25197
0x4e4	0xcfad00b8
0x51b	0xdbdd2989
0x55a	0xde260f37
0x591	0xe3fedc51
0x67e	0xeb7e3a5c
0x6c1	0xf3bc96ea
0x3d69	0x00000000
