0x0	__function_selector__
0x22b	burnMin()
0x245	name()
0x2c2	approve(address,uint256)
0x30f	delegateAllowance(address,address)
0x34a	totalSupply()
0x352	transferFrom(address,address,uint256)
0x395	delegateApprove(address,uint256,address)
0x395	delegateIncreaseApproval(address,uint256,address)
0x395	delegateDecreaseApproval(address,uint256,address)
0x395	delegateTransfer(address,uint256,address)
0x3d8	rounding()
0x3f6	decimals()
0x3fe	canBurn(address)
0x431	increaseAllowance(address,uint256)
0x46a	mint(address,uint256)
0x4a5	burn(uint256)
0x4c2	delegateBalanceOf(address)
0x4f5	delegateTransferFrom(address,address,uint256,address)
0x53e	claimOwnership()
0x546	setBurnBounds(uint256,uint256)
0x569	burnMax()
0x571	balanceOf(address)
0x5a4	delegateTotalSupply()
0x5ac	setCanBurn(address,bool)
0x5e7	reclaimToken(address,address)
0x622	owner()
0x653	symbol()
0x65b	reclaimEther(address)
0x68e	decreaseAllowance(address,uint256)
0x6c7	transfer(address,uint256)
0x700	setBlacklisted(address,bool)
0x73b	allowance(address,address)
0x776	pendingOwner()
0x77e	transferOwnership(address)
0x81e	0x81e
0xd36	0xd36
0x13a6	0x13a6
0x13aa	0x13aa
0x148d	0x148d
0x1510	0x1510
0x15a7	0x15a7
0x1601	0x1601
0x1767	0x1767
0x18e8	0x18e8
0x19a7	0x19a7
0x1bcc	0x1bcc
0x1c0e	0x1c0e
0x1c50	0x1c50
0x2333	()
0x2333	fallback()
0x2c9b	0x2c9b
0x2d99	0x2d99
0x2dbd	0x2dbd
