0x0	__function_selector__
0x105	initOwner(address)
0x11a	isValidSignature(bytes32,bytes)
0x143	isValidSignature(bytes,bytes)
0x156	addManager(address)
0x169	addWhitelist(address,bool)
0x17c	claimOwnership()
0x184	renounceOwnership()
0x18c	managers()
0x1a1	owner()
0x1b6	whitelist(address)
0x1d6	removeManager(address)
0x1e9	transact(address,uint256,bytes)
0x20a	pendingOwner()
0x212	numManagers()
0x227	transferOwnership(address)
0x23a	isManager(address)
0x2a1	0x2a1
0x2cd	0x2cd
0x314	0x314
0x506	0x506
0x5c4	0x5c4
0x69f	0x69f
0x746	0x746
0x760	0x760
0x838	0x838
0x8bf	0x8bf
0x961	0x961
0xbde	0xbde
0xbf5	0xbf5
0xc73	0xc73
0xc8e	0xc8e
0xd58	0xd58
0xd9d	0xd9d
0xe04	0xe04
0xe18	0xe18
0xf56	0xf56
0x1163	()
0x1163	fallback()
