0x18d2	0x1163
0x18ad	0x20a
0x18b0	0x212
0x18b3	0x227
0x18b6	0x23a
0x18a1	0x1a1
0x18a4	0x1b6
0x18a7	0x1d6
0x18aa	0x1e9
0x1895	0x169
0x1898	0x17c
0x189b	0x184
0x189e	0x18c
0x1889	0x105
0x188c	0x11a
0x188f	0x143
0x1892	0x156
0x2a1B0x128	0x760
0x85cB0x2cdB0x151	0x760
0x853B0x2cdB0x151	0x760
