0x2cd	0x30b
0x314	0x347
0x5c4	0x682
0x838	0x86d
0x8bf	0x954
0x961	0xa88
0xbf5	0xc57
0xc8e	0xcbe
0xe04	0xe04
0xe18	0xe59
0xf56	0xf56
0x506	0x152a
0x69f	0x15f0
0x746	0x1664
0x760	0x1689
0x760	0x16ae
0x760	0x16d3
0x760	0x16f8
0xbde	0x180f
0xd58	0x1834
0xd9d	0x185d
0x2a1	0x2c70x2a1
0xc73	0x2c70xc73
