0x147	0x3d4fb75
0x170	0xeda85ee
0x190	0x1a9ee26f
0x1a3	0x4547cdd9
0x1b6	0x45d1cfe0
0x1cb	0x5db88e85
0x1d3	0x67963132
0x1e8	0x715018a6
0x1f0	0x77f32f84
0x203	0x8da5cb5b
0x20b	0x9135b6c3
0x21e	0xa0622a5c
0x226	0xa8a9c260
0x22e	0xac210cc7
0x236	0xacd94333
0x249	0xc26ad22d
0x25c	0xc4d66de8
0x26f	0xde545815
0x282	0xebbf5c17
0x295	0xed0fe416
0x2a8	0xf2fde38b
0x2bb	0xf51c7512
0x12be	0x00000000
