0x144f	0x1483
0x1a44	0x1a44
0x1a4a	0x1a60
0x1ab3	0x1c90
0x1c95	0x1d29
0x2042	0x23ab
0x2713	0x28dc
0xee4	0x3a90
0x19a8	0x3c5b
0x1a4a	0x3ca2
0x1ab3	0x3ceb
0x1ab3	0x3d58
0x1ab3	0x3dc5
0x1d31	0x3e57
0x1f27	0x3eea
0x1fa2	0x3f0d
0x2042	0x3f34
0x2042	0x3f7c
0x2408	0x3fa1
0x2678	0x3fc7
0x2678	0x3fec
0x26d1	0x4012
0x2713	0x4038
0x2713	0x40ca
0x2906	0x415d
0x291d	0x4180
0x2935	0x41a3
0x2afd	0x41c9
0x11f8	0x12c00x11f8
0x1502	0x16be0x1502
0x16c4	0x17a70x16c4
0xcfc	0x3a230xcfc
0x11f8	0x3ad70x11f8
0x11f8	0x3af90x11f8
0x1502	0x3bc90x1502
0x16c4	0x3bee0x16c4
0x1a71	0x3cc50x1a71
0x1d8b	0x3e7d0x1d8b
0x1d8b	0x3ec50x1d8b
