0xdd	0x00000000
0x121	0x1a5da6c8
0x156	0x2dfdf0b5
0x17d	0x3f4ba83a
0x192	0x4555d5c9
0x1a7	0x5c60da1b
0x1d8	0x5c975abb
0x201	0x5cc07076
0x255	0x7b103999
0x26a	0x8456cb59
0x27f	0x8f283970
0x2b2	0x9a202d47
0x2c7	0xb02c43d0
0x331	0xf851a440
0x346	0xfd840de2
