0x8d7	0xdd
0x8f8	0x2b2
0x8fb	0x2c7
0x8fe	0x331
0x901	0x346
0x8ef	0x255
0x8f2	0x26a
0x8f5	0x27f
0x8e3	0x192
0x8e6	0x1a7
0x8e9	0x1d8
0x8ec	0x201
0x8da	0x121
0x8dd	0x156
0x8e0	0x17d
