0xdd	0x379	0xe7	0xe7
0x12d	0x144	0x154	0x154
0x162	0x3c1	0x16b	0x16b
0x189	0x3c7	0x154	0x154
0x19e	0x42c	0x16b	0x16b
0x1b3	0x379	0x1bc	0x1bc
0x1e4	0x431	0x1ed	0x1ed
0x20d	0x224	0x22b	0x22b
0x261	0x46f	0x1bc	0x1bc
0x276	0x47e	0x154	0x154
0x28b	0x2a2	0x154	0x154
0x2be	0x56f	0x154	0x154
0x2d3	0x2ea	0x2f1	0x2f1
0x33d	0x623	0x1bc	0x1bc
0x352	0x369	0x154	0x154
