0x87e	0x754d1d54
0x881	0xa430292c
0x884	0x8a40db89
0x887	0xab2b3137
0x88a	0x7dd2b826
0x88d	0x50708630
0x890	0xe9333fab
0x893	0x4f7ec981
0x896	0xf851a440
0x899	0xeba4c4f9
0x89c	0x8c80d20
0x89f	0x7f28f124
0x8a2	0x99da03c7
0x8a5	0x3812bea8
