0x14c	0x1b50x0
0x58	0x6f
0xe0	0xf7
0x8f	0x98
0xae	0xb0
0x146	0x14c
0x475B0x26	0x481B0x26
0x200B0x130	0x2050x200B0x130
0x475B0xb0	0x481B0xb0
0x346B0x0	0x358B0x0
0x376B0x0	0x390B0x0
0x393B0x0	0x3a4B0x0
0x3a7B0x0	0x3b3B0x0
0x3bcB0x0	0x3deB0x0
0x3e7B0x0	0x3fdB0x0
0x32eB0x35bB0x0	0x342B0x35bB0x0
0x32eB0x366B0x0	0x342B0x366B0x0
0x4c0B0x400B0x0	0x4c6B0x400B0x0
0x499B0x400B0x0	0x49cB0x400B0x0
0x4b6B0x400B0x0	0x4c0B0x400B0x0
0x49cB0x400B0x0	0x4a6B0x400B0x0
0x217B0x1d1B0x98	0x21dB0x1d1B0x98
0x291B0x1d1B0x98	0x2acB0x1d1B0x98
0x2ceB0x1d1B0x98	0x2d3B0x1d1B0x98
0x200B0x20aB0x1d1B0x98	0x2050x200B0x20aB0x1d1B0x98
0x4c0B0x422B0x1d1B0x98	0x4c6B0x422B0x1d1B0x98
0x499B0x422B0x1d1B0x98	0x49cB0x422B0x1d1B0x98
0x4b6B0x422B0x1d1B0x98	0x4c0B0x422B0x1d1B0x98
0x49cB0x422B0x1d1B0x98	0x4a6B0x422B0x1d1B0x98
0x2f0B0x2d3B0x1d1B0x98	0x2faB0x2d3B0x1d1B0x98
0x301B0x2d3B0x1d1B0x98	0x30aB0x2d3B0x1d1B0x98
0x4c0B0x440B0x2d3B0x1d1B0x98	0x4c6B0x440B0x2d3B0x1d1B0x98
0x499B0x440B0x2d3B0x1d1B0x98	0x49cB0x440B0x2d3B0x1d1B0x98
0x4b6B0x440B0x2d3B0x1d1B0x98	0x4c0B0x440B0x2d3B0x1d1B0x98
0x49cB0x440B0x2d3B0x1d1B0x98	0x4a6B0x440B0x2d3B0x1d1B0x98
