0x7fe	0x93a
0x96c	0x96c
0x9d5	0xa5e
0xb8b	0xb8b
0x1b39	0x1f7f
0x1ff6	0x2018
0x2268	0x231e
0x26b5	0x26c6
0x26cd	0x26df
0x26f0	0x2728
0x274f	0x274f
0x2763	0x2763
0x277c	0x277c
0x2a73	0x2a73
0x2c7f	0x2c7f
0x2c8d	0x2cd4
0x2cdb	0x2cfa
0x2d02	0x2d18
0x2d22	0x2d46
0x2d4e	0x2d63
0x31c	0x3017
0x1955	0x325e
0x1955	0x3282
0x2037	0x3429
0x2037	0x3479
0x2368	0x3602
0x23eb	0x3625
0x240a	0x3648
0x2478	0x3691
0x2515	0x36e0
0x2611	0x372f
0x2d22	0x375a
0x620	0x7220x620
0x19e4	0x1a0c0x19e4
0x1f8a	0x1a0c0x1f8a
0x2415	0x1a0c0x2415
0x2431	0x1a0c0x2431
0x2695	0x1a0c0x2695
0x1fc4	0x1fee0x1fc4
0x201e	0x20300x201e
0x232f	0x20300x232f
0x280a	0x20300x280a
0xb8f	0x31c80xb8f
0x1f8a	0x33420x1f8a
