0x8	0x10
0x27	0xde
0x32	0x97
0x3d	0x71
0x6d	0x2e3f
0x93	0x2e63
0xda	0x2e87
0xe6	0x130
0x12c	0x2eab
0x179	0x1800x178
0x17c	0x2aa
0x197	0x1800x196
0x19a	0x2c2
0x19f	0x1800x19e
0x1a2	0x2da
0x1a7	0x1b9
0x1aa	0x1b4
0x1b5	0x2f2
0x1bd	0x2ef7
0x1c2	0x2c03
0x1c7	0x1800x1c6
0x1ca	0x304
0x1cf	0x2f1f
0x1d2	0x1dc
0x1d8	0x25a2
0x1e4	0x1800x1e3
0x1e7	0x611
0x1ef	0x2f40
0x20d	0x1800x20c
0x210	0x72d
0x215	0x2f8c
0x218	0x745
0x21d	0x1800x21c
0x220	0x7ce
0x225	0x1800x224
0x228	0x7e6
0x22d	0x2fad
0x235	0x1800x234
0x238	0x93c
0x23d	0x1800x23c
0x240	0x954
0x245	0x1800x244
0x24d	0x1800x24c
0x250	0x97b
0x255	0x1800x254
0x258	0x98d
0x25d	0x1800x25c
0x260	0x9a5
0x265	0x1800x264
0x268	0x9bd
0x275	0x1800x274
0x278	0x282
0x27e	0x244d
0x283	0xa66
0x288	0x1800x287
0x28b	0xa9b
0x290	0x2fce
0x293	0x29d
0x29e	0xab3
0x2a3	0x1800x2a2
0x2a6	0xb73
0x746	0x74d
0x757	0x75e
0x769	0x784
0x77c	0x30dc
0xa7a	0xa7f
0xab4	0xabb
0xac5	0xacc
0xad7	0xaf2
0xaea	0x3150
0xafd	0xb18
0xb10	0x3178
0xb14	0x2856
0xb93	0xc170xb8f
0x19ee	0x1a090x19e4
0x1b3c	0x1b43
0x1b3f	0x23cd
0x1b49	0x1bee
0x1b8f	0x1bee
0x1b97	0x1b9e
0x1b9f	0x1ba8
0x1bf1	0x1cb4
0x1c37	0x1cb4
0x1c3f	0x1c46
0x1c47	0x1c50
0x1c99	0x1cb1
0x1c9c	0x32f6
0x1cb7	0x1d71
0x1cfd	0x1d71
0x1d05	0x1d0c
0x1d0d	0x1d16
0x1d5d	0x1d6e
0x1d60	0x331c
0x1d9e	0x1dab
0x1dbb	0x1dc3
0x1dca	0x1dd7
0x1df2	0x1dfb
0x1e28	0x1e38
0x1e34	0x27d2
0x1e4a	0x1e52
0x1e59	0x1e66
0x1e96	0x1ea3
0x1eb3	0x1ebb
0x1ec2	0x1ecf
0x1eea	0x1ef3
0x1ef7	0x1f7f
0x1f3a	0x1f42
0x1f49	0x1f56
0x1f71	0x1f7a
0x1f7b	0x216d
0x1f8e	0x1f990x1f8a
0x1fca	0x1fe50x1fc4
0x1ffd	0x2018
0x2010	0x33b7
0x2014	0x2932
0x2072	0x207c
0x208b	0x2093
0x209a	0x20a7
0x20c2	0x20cb
0x20d5	0x33df
0x20f4	0x2109
0x20f8	0x3404
0x2111	0x211c
0x2118	0x2120
0x2125	0x3429
0x2129	0x213f
0x212d	0x3454
0x2146	0x3479
0x2159	0x34a4
0x215d	0x2bcc
0x2170	0x2209
0x21b7	0x21bf
0x21c6	0x21d3
0x21ee	0x21f7
0x21f8	0x34cc
0x2211	0x221c
0x2218	0x2220
0x2225	0x34f1
0x2229	0x223f
0x222d	0x3517
0x2246	0x353c
0x2259	0x3562
0x225d	0x289c
0x2458	0x245f
0x2462	0x246a
0x25ad	0x25b4
0x25c4	0x25cb
0x25d7	0x25de
0x25e5	0x25ec
0x25f8	0x25ff
0x261c	0x2623
0x2632	0x2639
0x2642	0x2649
0x264c	0x2657
0x264f	0x370b
0x266c	0x2673
0x267c	0x372f
0x2691	0x2677
0x27e1	0x27fa
0x27f6	0x27db
0x34ce	0x1fc40x1b39
0x3760	0x3848
0x3762	0x37d3
0x3764	0x37d6
0x3766	0x37d9
0x3768	0x37dc
0x376a	0x37ca
0x376c	0x37cd
0x376e	0x37d0
0x3770	0x37b8
0x3772	0x37bb
0x3774	0x37be
0x3776	0x37c1
0x3778	0x37c4
0x377a	0x37c7
0x377c	0x37a6
0x377e	0x37a9
0x3780	0x37ac
0x3782	0x37af
0x3784	0x37b2
0x3786	0x37b5
0x3788	0x3794
0x378a	0x3797
0x378c	0x379a
0x378e	0x379d
0x3790	0x37a0
0x3792	0x37a3
0x1b390x1fe9	0x1fee0x1b39
0x1fc40x1fe9	0x1fee0x1fc4
0x1b390x1fe1	0x29af0x1b39
0x1fc40x1fe1	0x29af0x1fc4
0x1b390x1fdd	0x338f0x1b39
0x1fc40x1fdd	0x338f0x1fc4
0x1b390x1fca	0x1fe50x1b39
0x1f8a0x1fc0	0x2a0c0x1f8a
0x1f8a0x1fbc	0x33670x1f8a
0x1f8a0x1fa9	0x1a090x1f8a
0x1f8a0x1fa1	0x1fa60x1f8a
0x1f8a0x1f95	0x33420x1f8a
0x19e40x1a05	0x28d30x19e4
0x19e40x1a01	0x32ce0x19e4
0xb8f0xc48	0xc520xb8f
0xb8f0xc34	0x31c80xb8f
0xb8f0xc2f	0x2b760xb8f
0xb8f0xc2b	0x31a00xb8f
0xb8f0xc18	0xc330xb8f
0xb8f0xc0c	0xc150xb8f
0xb8f0xbe4	0xbf10xb8f
0xb8f0xbd5	0xbdd0xb8f
0xb8f0xbb6	0xbc50xb8f
0x1eb0x202	0x2f640x1eb
0x26c0x202	0x2f640x26c
0x1780x184	0x2ecf0x178
0x1960x184	0x2ecf0x196
0x19e0x184	0x2ecf0x19e
0x1c60x184	0x2ecf0x1c6
0x1e30x184	0x2ecf0x1e3
0x20c0x184	0x2ecf0x20c
0x21c0x184	0x2ecf0x21c
0x2240x184	0x2ecf0x224
0x2340x184	0x2ecf0x234
0x23c0x184	0x2ecf0x23c
0x2440x184	0x2ecf0x244
0x24c0x184	0x2ecf0x24c
0x2540x184	0x2ecf0x254
0x25c0x184	0x2ecf0x25c
0x2640x184	0x2ecf0x264
0x2740x184	0x2ecf0x274
0x2870x184	0x2ecf0x287
0x2a20x184	0x2ecf0x2a2
0x26bfV0x1dd7	0x26c6B0x1dd7
0x26bfV0x1ecf	0x26c6B0x1ecf
0x26bfV0x1f56	0x26c6B0x1f56
0x26d8V0x20a7	0x26dfB0x20a7
0x26bfV0x21d3	0x26c6B0x21d3
0x2d5bV0x245f	0x2d63B0x245f
0x2d11V0x2649	0x2d18B0x2649
0x2cf2V0x370b	0x2cfaB0x370b
0x26bfV0xbf10xb8f	0x26c6B0xbf10xb8f
0x241fV0x1a6	0x2426B0x1a6
0x2429V0x1a6	0x1a090x2415B0x1a6
0x2d5bV0x2426V0x1a6	0x2d63B0x2426B0x1a6
0x835V0x22c	0x3104B0x22c
0x7ffV0x22c	0x806B0x22c
0x810V0x22c	0x817B0x22c
0x822V0x22c	0x83dB0x22c
0x83eV0x22c	0x872B0x22c
0x873V0x22c	0x8a7B0x22c
0x8a8V0x22c	0x8dcB0x22c
0x8ddV0x22c	0x90bB0x22c
0x90cV0x22c	0x93aB0x22c
0x241fV0x28f	0x2426B0x28f
0x2429V0x28f	0x1a090x2415B0x28f
0x2d5bV0x2426V0x28f	0x2d63B0x2426B0x28f
0x353V0x1dc	0x2fefB0x1dc
0x46eV0x1dc	0x303cB0x1dc
0x472V0x1dc	0x29e6B0x1dc
0x53dV0x1dc	0x3064B0x1dc
0x541V0x1dc	0x2b29B0x1dc
0x31c0xc2fV0x1dc	0x2b760x31cB0x1dc
0x31c0xc2bV0x1dc	0x31a00x31cB0x1dc
0x31dV0x1dc	0x324B0x1dc
0x32eV0x1dc	0x335B0x1dc
0x340V0x1dc	0x364B0x1dc
0x386V0x1dc	0x38fB0x1dc
0x3ccV0x1dc	0x412B0x1dc
0x415V0x1dc	0x45aB0x1dc
0x3f9V0x1dc	0x3feB0x1dc
0x45bV0x1dc	0x476B0x1dc
0x4a3V0x1dc	0x4b7B0x1dc
0x4c7V0x1dc	0x4cfB0x1dc
0x4d6V0x1dc	0x4e3B0x1dc
0x4ffV0x1dc	0x50bB0x1dc
0x518V0x1dc	0x51dB0x1dc
0x52aV0x1dc	0x545B0x1dc
0x552V0x1dc	0x557B0x1dc
0x588V0x1dc	0x592B0x1dc
0x5b5V0x1dc	0x5baB0x1dc
0x5fdV0x1dc	0x5baB0x1dc
0x5d8V0x1dc	0xb8f0x31cB0x1dc
0x607V0x1dc	0x369B0x1dc
0x36eV0x1dc	0x3017B0x1dc
0x378V0x1dc	0x37dB0x1dc
0x3dbV0x1dc	0x3e0B0x1dc
0x442V0x1dc	0x447B0x1dc
0x31c0xc48V0x1dc	0xc520x31cB0x1dc
0x31c0xc34V0x1dc	0x31c80x31cB0x1dc
0x31c0xc18V0x1dc	0xc330x31cB0x1dc
0x31c0xc0cV0x1dc	0xc150x31cB0x1dc
0x31c0xbe4V0x1dc	0xbf10x31cB0x1dc
0x31c0xbd5V0x1dc	0xbdd0x31cB0x1dc
0x31c0xbb6V0x1dc	0xbc50x31cB0x1dc
0x31c0xb93V0x1dc	0xc170x31cB0x1dc
0x2c9cV0x37dV0x1dc	0x2ca3B0x37dB0x1dc
0x2cb6V0x37dV0x1dc	0x2cbdB0x37dB0x1dc
0x2cccV0x37dV0x1dc	0x2cd4B0x37dB0x1dc
0x26bfV0xbf10x31cV0x1dc	0x26c6B0xbf10x31cB0x1dc
0x2817V0x476V0x1dc	0x202d0x280aB0x476B0x1dc
0x2708V0x280aV0x476V0x1dc	0x2728B0x280aB0x476B0x1dc
0x2724V0x280aV0x476V0x1dc	0x2703B0x280aB0x476B0x1dc
0x237eV0x557V0x1dc	0x23bdB0x557B0x1dc
0x23bfV0x557V0x1dc	0x3602B0x557B0x1dc
0x238dV0x557V0x1dc	0x23bdB0x557B0x1dc
0x23b9V0x557V0x1dc	0x2388B0x557B0x1dc
0x23f1V0x23bdV0x557V0x1dc	0x3625B0x23bdB0x557B0x1dc
0x2406V0x23bdV0x557V0x1dc	0x23ecB0x23bdB0x557B0x1dc
0x6200x11fbV0x2f40	0x12050x620B0x2f40
0x6200x1150V0x2f40	0x11550x620B0x2f40
0x6200x1107V0x2f40	0x110c0x620B0x2f40
0x6200x10b5V0x2f40	0x10ba0x620B0x2f40
0x6200x1063V0x2f40	0x10680x620B0x2f40
0x6200x1030V0x2f40	0x116a0x620B0x2f40
0x6200xd3dV0x2f40	0xd420x620B0x2f40
0x6200x1fe1V0x2f40	0x29af0x620B0x2f40
0x6200x1fddV0x2f40	0x338f0x620B0x2f40
0x6200x1fc0V0x2f40	0x2a0c0x620B0x2f40
0x6200x1fbcV0x2f40	0x33670x620B0x2f40
0x6200x1a05V0x2f40	0x28d30x620B0x2f40
